epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2034.04,0.85327,0.9121,0.99739,0.26276,0.0670123,0.000333209,0.000333209
2,3915.12,0.42524,0.9395,0.99804,0.18739,0.0339934,0.000647689,0.000647689
3,5787.54,0.34669,0.95988,0.99935,0.1291,0.000955722,0.000943311,0.000943311
4,7675.75,0.30479,0.96102,0.99951,0.12883,0.000915143,0.000915143,0.000915143
5,9554.12,0.27818,0.96967,0.99967,0.08622,0.000886857,0.000886857,0.000886857
6,11427.1,0.24111,0.97798,0.99984,0.07267,0.000858571,0.000858571,0.000858571
7,13326.5,0.22376,0.96853,0.99967,0.09072,0.000830286,0.000830286,0.000830286
8,15239.3,0.20571,0.9832,0.99951,0.05809,0.000802,0.000802,0.000802
9,17119,0.19115,0.98288,0.99967,0.05491,0.000773714,0.000773714,0.000773714
10,19000.9,0.18605,0.98239,0.99984,0.057,0.000745429,0.000745429,0.000745429
11,20894,0.16815,0.98092,0.99951,0.05849,0.000717143,0.000717143,0.000717143
12,22764.1,0.16252,0.98549,0.99984,0.04555,0.000688857,0.000688857,0.000688857
13,24622.1,0.14587,0.9863,0.99984,0.0468,0.000660571,0.000660571,0.000660571
14,26494,0.13869,0.98581,1,0.04421,0.000632286,0.000632286,0.000632286
15,28608.5,0.13675,0.98924,1,0.03792,0.000604,0.000604,0.000604
16,30777.2,0.11653,0.98875,1,0.03563,0.000575714,0.000575714,0.000575714
17,32642.1,0.11829,0.98989,1,0.03093,0.000547429,0.000547429,0.000547429
18,34515.1,0.11624,0.9907,1,0.03078,0.000519143,0.000519143,0.000519143
19,36446.8,0.112,0.99168,0.99984,0.03762,0.000490857,0.000490857,0.000490857
